Year,Country.or.territory.of.asylum.or.residence,Country.or.territory.of.origin,Refugees,Refugees.assisted.by.UNHCR,Total.refugees.and.people.in.refugee.like.situations,Total.refugees.and.people.in.refugee.like.situations.assisted.by.UNHCR
2005,IRE,KEN,91,NA,91,NA
2005,ITA,KEN,3,NA,3,NA
2005,MEX,KEN,1,NA,1,NA
2005,MLW,KEN,1,1,1,1
2005,NET,KEN,28,NA,28,NA
2005,NOR,KEN,26,NA,26,NA
2005,POL,KEN,1,NA,1,NA
2005,ROM,KEN,NA,NA,NA,NA
2005,RSA,KEN,14,NA,14,NA
2005,RWA,KEN,2,2,2,2
2005,SPA,KEN,4,NA,4,NA
2005,SWA,KEN,1,NA,1,NA
2005,SWE,KEN,38,NA,38,NA
2005,SWI,KEN,18,NA,18,NA
2005,UGA,KEN,29,29,29,29
2005,USA,KEN,1130,NA,1130,NA
2004,AUL,KEN,589,NA,589,NA
2004,BEL,KEN,2,NA,2,NA
2004,BOT,KEN,11,11,11,11
2004,CAN,KEN,343,NA,343,NA
2004,CAR,KEN,1,NA,1,NA
2004,DEN,KEN,16,NA,16,NA
2004,ETH,KEN,5,5,5,5
2004,FRA,KEN,12,NA,12,NA
2004,GBR,KEN,1543,NA,1543,NA
2004,GFR,KEN,217,NA,217,NA
2004,GRE,KEN,3,NA,3,NA
2004,HUN,KEN,2,NA,2,NA
2004,IRE,KEN,74,NA,74,NA
2004,ITA,KEN,3,NA,3,NA
2004,MEX,KEN,1,NA,1,NA
2004,MLW,KEN,1,1,1,1
2004,NET,KEN,26,NA,26,NA
2004,NOR,KEN,26,NA,26,NA
2004,POL,KEN,1,NA,1,NA
2004,ROM,KEN,NA,1,NA,1
2004,RSA,KEN,12,10,12,10
2004,SPA,KEN,4,NA,4,NA
2004,SWA,KEN,1,NA,1,NA
2004,SWE,KEN,39,NA,39,NA
2004,SWI,KEN,11,NA,11,NA
2004,UGA,KEN,32,32,32,32
2004,USA,KEN,856,NA,856,NA
2004,ZIM,KEN,16,16,16,16
2003,AUL,KEN,23,NA,23,NA
2003,BEL,KEN,1,NA,1,NA
2003,BOT,KEN,11,11,11,11
2003,CAN,KEN,332,NA,332,NA
2003,CAR,KEN,NA,NA,NA,NA
2003,DEN,KEN,15,NA,15,NA
2003,ETH,KEN,5,5,5,5
2003,FRA,KEN,11,NA,11,NA
2003,GBR,KEN,1486,NA,1486,NA
2003,GFR,KEN,227,NA,227,NA
2003,GRE,KEN,3,NA,3,NA
2003,HUN,KEN,2,NA,2,NA
2003,IRE,KEN,53,NA,53,NA
2003,ITA,KEN,2,NA,2,NA
2003,MEX,KEN,1,NA,1,NA
2003,NET,KEN,23,NA,23,NA
2003,NOR,KEN,36,NA,36,NA
2003,POL,KEN,1,NA,1,NA
2003,ROM,KEN,3,NA,3,NA
2003,RSA,KEN,12,NA,12,NA
2003,SPA,KEN,4,NA,4,NA
2003,SWA,KEN,1,NA,1,NA
2003,SWE,KEN,46,NA,46,NA
2003,SWI,KEN,11,NA,11,NA
2003,TAN,KEN,NA,NA,NA,NA
2003,UGA,KEN,39,39,39,39
2003,USA,KEN,808,NA,808,NA
2003,ZIM,KEN,7,7,7,7
2002,AUL,KEN,76,NA,76,NA
2002,BEL,KEN,2,NA,2,NA
2002,BOT,KEN,11,11,11,11
2002,CAN,KEN,347,NA,347,NA
2002,CAR,KEN,2,NA,2,NA
2002,DEN,KEN,12,NA,12,NA
2002,ETH,KEN,5,5,5,5
2002,FRA,KEN,8,NA,8,NA
2002,GBR,KEN,1305,NA,1305,NA
2002,GFR,KEN,179,NA,179,NA
2002,GRE,KEN,3,NA,3,NA
2002,HUN,KEN,1,NA,1,NA
2002,IRE,KEN,32,NA,32,NA
2002,ITA,KEN,2,NA,2,NA
2002,MEX,KEN,1,NA,1,NA
2002,MLW,KEN,NA,NA,NA,NA
2002,NET,KEN,22,NA,22,NA
2002,NOR,KEN,45,NA,45,NA
2002,POL,KEN,1,NA,1,NA
2002,RSA,KEN,11,13,11,13
2002,RWA,KEN,2,2,2,2
2002,SPA,KEN,4,NA,4,NA
2002,SWA,KEN,1,NA,1,NA
2002,SWE,KEN,54,NA,54,NA
2002,SWI,KEN,10,NA,10,NA
2002,TUR,KEN,NA,NA,NA,NA
2002,UGA,KEN,133,133,133,133
2002,USA,KEN,813,NA,813,NA
2002,ZIM,KEN,5,5,5,5
2001,AUL,KEN,74,NA,74,NA
2001,BEL,KEN,6,NA,6,NA
2001,BOT,KEN,7,7,7,7
2001,CAN,KEN,398,NA,398,NA
2001,CAR,KEN,2,NA,2,NA
2001,DEN,KEN,14,NA,14,NA
2001,ETH,KEN,3,3,3,3
2001,FRA,KEN,6,NA,6,NA
2001,GBR,KEN,1170,NA,1170,NA
2001,GFR,KEN,NA,NA,NA,NA
2001,HUN,KEN,1,NA,1,NA
2001,IRE,KEN,14,NA,14,NA
2001,ITA,KEN,2,NA,2,NA
2001,MEX,KEN,1,NA,1,NA
2001,NET,KEN,16,NA,16,NA
2001,NOR,KEN,66,NA,66,NA
2001,POL,KEN,1,NA,1,NA
2001,RSA,KEN,1,1,1,1
2001,SPA,KEN,4,NA,4,NA
2001,SWA,KEN,1,1,1,1
2001,SWE,KEN,59,NA,59,NA
2001,SWI,KEN,9,NA,9,NA
2001,TAN,KEN,1,NA,1,NA
2001,TUR,KEN,1,1,1,1
2001,UGA,KEN,115,115,115,115
2001,USA,KEN,582,NA,582,NA
2001,ZIM,KEN,5,NA,5,NA
2000,AUL,KEN,75,NA,75,NA
2000,BEL,KEN,6,NA,6,NA
2000,BOT,KEN,1,1,1,1
2000,BUL,KEN,NA,NA,NA,NA
2000,CAN,KEN,445,NA,445,NA
2000,CAR,KEN,2,NA,2,NA
2000,DEN,KEN,18,NA,18,NA
2000,ERT,KEN,NA,NA,NA,NA
2000,ETH,KEN,3,3,3,3
2000,GBR,KEN,1085,NA,1085,NA
2000,GFR,KEN,NA,NA,NA,NA
2000,IRE,KEN,5,NA,5,NA
2000,ITA,KEN,2,NA,2,NA
2000,MEX,KEN,1,NA,1,NA
2000,MOZ,KEN,NA,NA,NA,NA
2000,NET,KEN,16,NA,16,NA
2000,NOR,KEN,77,NA,77,NA
2000,POL,KEN,1,NA,1,NA
2000,RSA,KEN,1,1,1,1
2000,RWA,KEN,NA,NA,NA,NA
2000,SPA,KEN,4,NA,4,NA
2000,SWA,KEN,1,1,1,1
2000,SWE,KEN,71,NA,71,NA
2000,SWI,KEN,10,NA,10,NA
2000,UGA,KEN,100,100,100,100
2000,USA,KEN,449,NA,449,NA
1999,AUL,KEN,82,NA,82,NA
1999,BEL,KEN,5,NA,5,NA
1999,CAN,KEN,NA,NA,NA,NA
1999,CAR,KEN,2,NA,2,NA
1999,COD,KEN,NA,NA,NA,NA
1999,DEN,KEN,19,NA,19,NA
1999,ETH,KEN,4783,4783,4783,NA
1999,FRA,KEN,NA,NA,NA,NA
1999,GFR,KEN,NA,NA,NA,NA
1999,GRE,KEN,NA,NA,NA,NA
1999,IND,KEN,NA,NA,NA,NA
1999,MEX,KEN,1,NA,1,NA
1999,MLW,KEN,1,1,1,1
1999,NET,KEN,NA,NA,NA,NA
1999,NOR,KEN,94,NA,94,NA
1999,POL,KEN,1,NA,1,NA
1999,SPA,KEN,4,NA,4,NA
1999,SWA,KEN,1,1,1,1
1999,SWE,KEN,NA,NA,NA,NA
1999,SWI,KEN,10,NA,10,NA
1999,UGA,KEN,89,89,89,89
1999,USA,KEN,335,NA,335,NA
1999,ZIM,KEN,6,NA,6,NA
1998,AUL,KEN,87,NA,87,NA
1998,BEL,KEN,5,NA,5,NA
1998,CAN,KEN,504,NA,504,NA
1998,CAR,KEN,2,NA,2,NA
1998,DEN,KEN,12,NA,12,NA
1998,ETH,KEN,4941,NA,4941,NA
1998,FRA,KEN,1,NA,1,NA
1998,GBR,KEN,90,NA,90,NA
1998,IND,KEN,2,NA,2,NA
1998,ITA,KEN,2,NA,2,NA
1998,NET,KEN,7,NA,7,NA
1998,NOR,KEN,75,NA,75,NA
1998,SPA,KEN,4,NA,4,NA
1998,SWA,KEN,1,NA,1,NA
1998,SWE,KEN,69,NA,69,NA
1998,SWI,KEN,2,NA,2,NA
1998,UGA,KEN,42,NA,42,NA
1998,USA,KEN,194,NA,194,NA
1998,ZIM,KEN,6,NA,6,NA
1997,AUL,KEN,22,NA,22,NA
1997,BOT,KEN,1,NA,1,NA
1997,CAN,KEN,479,NA,479,NA
1997,CAR,KEN,2,NA,2,NA
1997,DEN,KEN,10,NA,10,NA
1997,ETH,KEN,8671,NA,8671,NA
1997,GBR,KEN,80,NA,80,NA
1997,IND,KEN,2,NA,2,NA
1997,ITA,KEN,2,NA,2,NA
1997,NAM,KEN,1,NA,1,NA
1997,NET,KEN,6,NA,6,NA
1997,NOR,KEN,63,NA,63,NA
1997,SPA,KEN,4,NA,4,NA
1997,SWA,KEN,4,NA,4,NA
1997,SWE,KEN,63,NA,63,NA
1997,UGA,KEN,52,NA,52,NA
1997,USA,KEN,107,NA,107,NA
1997,ZIM,KEN,1,NA,1,NA
1996,AUL,KEN,21,NA,21,NA
1996,BOT,KEN,1,NA,1,NA
1996,BUL,KEN,4,NA,4,NA
1996,CAN,KEN,440,NA,440,NA
1996,DEN,KEN,8,NA,8,NA
1996,ETH,KEN,8678,NA,8678,NA
1996,FRA,KEN,2,NA,2,NA
1996,GBR,KEN,55,NA,55,NA
1996,NET,KEN,3,NA,3,NA
1996,SWE,KEN,62,NA,62,NA
1996,UGA,KEN,46,NA,46,NA
1996,USA,KEN,70,NA,70,NA
1995,BOT,KEN,1,NA,1,NA
1995,CAN,KEN,453,NA,453,NA
1995,DEN,KEN,8,NA,8,NA
1995,ETH,KEN,8680,NA,8680,NA
1995,FRA,KEN,2,NA,2,NA
1995,GBR,KEN,35,NA,35,NA
1995,NET,KEN,2,NA,2,NA
1995,SWE,KEN,59,NA,59,NA
1995,UGA,KEN,44,NA,44,NA
1995,USA,KEN,41,NA,41,NA
1995,ZIM,KEN,2,NA,2,NA
1994,CAN,KEN,492,NA,492,NA
1994,CAR,KEN,2,NA,2,NA
1994,DEN,KEN,8,NA,8,NA
1994,ETH,KEN,8188,NA,8188,NA
1994,GBR,KEN,20,NA,20,NA
1994,MOZ,KEN,3,NA,3,NA
1994,NET,KEN,2,NA,2,NA
1994,SWA,KEN,5,NA,5,NA
1994,SWE,KEN,54,NA,54,NA
1993,BOT,KEN,2,NA,2,NA
1993,CAR,KEN,3,NA,3,NA
1993,DEN,KEN,8,NA,8,NA
1993,ETH,KEN,4,NA,4,NA
1993,GBR,KEN,20,NA,20,NA
1993,NET,KEN,2,NA,2,NA
1993,SWA,KEN,1,NA,1,NA
1993,SWE,KEN,45,NA,45,NA
1992,DEN,KEN,6,NA,6,NA
1992,GBR,KEN,20,NA,20,NA
1992,NET,KEN,2,NA,2,NA
1992,SWE,KEN,35,NA,35,NA
1991,DEN,KEN,2,NA,2,NA
1991,GBR,KEN,7,NA,7,NA
1991,SWE,KEN,24,NA,24,NA
1990,DEN,KEN,1,NA,1,NA
1990,GBR,KEN,2,NA,2,NA
1990,SWE,KEN,7,NA,7,NA
1989,GBR,KEN,2,NA,2,NA
1988,GBR,KEN,2,NA,2,NA
1983,UGA,KEN,NA,NA,NA,NA
1983,ZAM,KEN,NA,NA,NA,NA
1979,UGA,KEN,80,NA,80,NA
1978,UGA,KEN,80,NA,80,NA
1977,UGA,KEN,1200,NA,1200,NA
1975,ZAM,KEN,90,NA,90,NA
